word_help;id;ask;toask;Question;Шаг 1;Шаг 2;Шаг 3;Шаг 4;Шаг 5;Шаг 6;Шаг 7;Шаг 8;Шаг 9;Шаг 10;Шаг 11;Шаг 12;Шаг 13;Шаг 14
узнать сколько платёж остаться внести кредит;656;Кредиты;Ежемесячный платеж;Как узнать, сколько платежей осталось внести по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный кредит;Количество платежей, которые осталось выплатить указано под шкалой прогресса; ; ; ; ; ; ; ; ; ; ; ; 
узнать какой сумма задолженнность я уже выплатить кредит;657;Кредиты;Сумма задолженности;Как узнать, какую сумму задолженнности я уже выплатил по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный кредит;Сумма задолженнности, которую вы уже внести указана под шкалой прогресса; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть кэшбэк партнёр;658;Программа лояльности;Кэшбэк от партнеров;Как посмотреть кэшбэк от партнеров;Нажмите на баланс бонусных рублей в верхней части экрана;Перейдите на вкладку «Кэшбэк от партнеров» — ниже отобразятся доступные предложения с кэшбэком от партнеров; ; ; ; ; ; ; ; ; ; ; ; 
активировать предложение кэшбэкома партнёр;659;Программа лояльности;Кэшбэк от партнеров;Как активировать предложение с кэшбэком от партнеров;Нажмите на баланс бонусных рублей в верхней части экрана;Перейдите на вкладку «Кэшбэк от партнеров» — ниже отобразятся доступные предложения с кэшбэком от партнеров;Выберите подходящее предложение и нажмите «Активировать»;Предложение активировано — кэшбэк за покупку у партнера начислится на ваш бонусный счет;Нажмите на карточку с предложением, чтобы подронее узнать о партнете, сроке действия акции и условиям начисления кэшбэка; ; ; ; ; ; ; ; ; 
настроить автоплатёж выставленний счёт;660;Автоплатежи;по выставленному счету;Как настроить автоплатеж при выставленнии счета;На вкладке «История операций» найдите оплаченный счет, по которому хотите настроить автоплатеж и нажмите на него;Нажмите «Автоплатеж»;На вкладке «При выставлении счета» укажите название автоплатежа и максимальну сумму одного платежа;Нажмите «Подключить»;Введите SMS-код для подтверждения;Заявка на создание автоплатежа принята. Вы получите SMS или push-уведомление, как автплатеж будет подключен.     В следующий раз счет указанным в автоплатеже реквизитам будет оплачен автоматически.; ; ; ; ; ; ; ; 
отсортировать шаблон;663;Шаблоны;Сортировка;Как отсортировать шаблоны;Перейдите на вкладки «Мои продукты» или «Платежи и переводы»;Перейдите в раздел «Шаблоны» и нажмите на стрелку справа, чтобы посмотреть все шаблоны.;Наведите курсор на шаблон, который хотите переместить, а затем нажмите на иконку перемещения и, удерживая ее, переместите шаблон в нужное место; ; ; ; ; ; ; ; ; ; ; 
посмотреть лимит перевод карта карта;664;Платежи и переводы;С карты на карту;Как посмотреть лимиты для переводов с карты на карту;Информацию о лимитах можно посмотреть при совершении перевода. Под формой перевода нажмите «Информация об услуге»;Нажмите «Лимиты»; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть комиссия перевод карта карта;665;Платежи и переводы;С карты на карту;Как посмотреть комиссию за переводы с карты на карту;Информацию о комиссии можно посмотреть при совершении перевода. Под формой перевода нажмите «Информация об услуге»;Нажмите «Комиссия»; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть лимит перевод номер телефон;666;Платежи и переводы;По номеру телефона;Как посмотреть лимиты для переводов по номеру телефона;Информацию о лимитах можно посмотреть при совершении перевода. Под формой перевода нажмите «Информация об услуге»;Нажмите «Лимиты»; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть комиссия перевод номер телефон;667;Платежи и переводы;По номеру телефона;Как посмотреть комиссию за переводы по номеру телефона;Информацию о комиссии можно посмотреть при совершении перевода. Под формой перевода нажмите «Информация об услуге»;Нажмите «Комиссия»; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть лимит перевод реквизит;668;Платежи и переводы;По реквизитам;Как посмотреть лимиты для переводов по реквизитам;Информацию о лимитах можно посмотреть при совершении перевода. Под формой перевода нажмите «Информация об услуге»;Нажмите «Лимиты»; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть комиссия перевод реквизит;669;Платежи и переводы;По реквизитам;Как посмотреть комиссию за переводы по реквизитам;Информацию о комиссии можно посмотреть при совершении перевода. Под формой перевода нажмите «Информация об услуге»;Нажмите «Комиссия»; ; ; ; ; ; ; ; ; ; ; ; 
закрыть дебетовый карта;670;Карты;Закрытие;Как закрыть дебетовую карту;На экране «Мои продукты» в разделе «Карты» найдите нужную карту.;Нажмите «Ещё».;Выберите «Закрыть карту».;Нажмите «Закрыть карту».;Подтвердите действие SMS-кодом.;Карта заблокируется сразу после отправки заявки. Счет карты будет закрыт через 45 дней. Найти и посмотреть закрытую карту можно на вкладке «Закрытые» в разделе «Карты».     Закрыть можно только активированную карту с нулевым балансом, к которой не привязаны другие продукты (вклады, кредиты и т.д.). Для всех остальных случаев выводятся предупреждения о том, что нужно сделать, чтобы закрыть карту.; ; ; ; ; ; ; ; 
оформить заявка кредит наличные онлайн;671;Кредит наличными;Оформление заявки;Как оформить заявку на кредит наличными онлайн;Услуга доступна всем клиентам, которые еще не брали кредит наличными, у которых есть действующая дебетовая карта и если кредита наличными нет в разделе «Персональные предложения»;На экране «Мои продукты» в разделе «Кредиты» нажмите «Оформить кредит наличными»;Откроется более подробная информация о кредите. Нажмите «Оформить онлайн»;Введите код из SMS и нажмите «Продолжить»;Введите e-mail, количество иждивенцев, укажите семейное положение;Ответьте на вопросы о наличии выгодоприобретателя, банкротстве, реструктуризации долгов и родстве с российскими или международными публичными должностными лицами;Нажмите «Продолжить»;С вами свяжется сотрудник банка для подтверждения параметров кредита и данных по заявке; ; ; ; ; ; 
закрыть накопительный счёт;672;Накопительные счета;Закрытие;Как закрыть накопительный счет;На экране «Мои продукты» в разделе «Счета» найдите нужный накопительный счет;Нажмите «Закрыть счет»;Выберите, куда перевести деньги со счета;Подтвердите действие SMS-кодом;Счет закрыт и больше не будет отображаться в мобильном и интернет-банке; ; ; ; ; ; ; ; ; 
закрыть счёт востребование;674;Счета до востребования;Закрытие;Как закрыть счет до востребования;На экране «Мои продукты» в разделе «Счета» найдите нужный счет до востребования;Нажмите «Закрыть счет»;Выберите, куда перевести деньги со счета;Подтвердите действие SMS-кодом;Счет закрыт и больше не будет отображаться в мобильном и интернет-банке; ; ; ; ; ; ; ; ; 
изменить email;675;Настройки профиля;Email;Как изменить email;Нажмите на имя или шестеренку в верхнем правом углу;Перейти на вкладку «Настройки пофиля»;В поле «E-mail» нажмите на карандаш;Введите новый e-mail и нажмите «Сохранить»; ; ; ; ; ; ; ; ; ; 
посмотреть какой сумма установленный лимит я уже потратить;676;Карты;Лимиты;Как посмотреть, какую сумму от установленного лимита я уже потратил;На экране «Мои продукты» в разделе «Карты» найдите нужную вам карту и нажмите «Еще»;Нажмите «Лимиты»;Под каждым лимитом отображается шкала, которая показывает, какая сумма из заданного лимита уже израсходована и какая осталась; ; ; ; ; ; ; ; ; ; ; 
найти операция карта история операция помощь поиск;677;Карты;Поиск операций;Как найти операцию по карте в истории операций с помощью поиска;Перейдите на вкладку «Мои продукты»;На вкладке «По картам» в строке поиска введите запрос. Искать операции можно по категории, статуса, комментарию, названию магазина, организации, по номеру телефона и диапозону сумму (например, 100-200);Ниже отобразятся операции, которые подходят под ваш запрос; ; ; ; ; ; ; ; ; ; ; 
найти операция совершенный интернет банк помощь поиск;678;Интернет-банк;История операций;Как найти операцию, совершенную в интернет-банке, с помощью поиска;Перейдите на вкладку «Мои продукты»;Перейдите на вкладку «В интернет-банке»;В строке поиска введите запрос. Искать операции можно по имени получателя, тексту комментария, названию поставщика услуги или банка.;Ниже отобразятся операции, которые подходят под ваш запрос; ; ; ; ; ; ; ; ; ; 
посмотреть ознакомительный тур интернет банк;679;Интернет-банк;Тур;Как посмотреть ознакомительный тур по интернет-банку;Чтобы посмотреть, как устроен интернет-банк и какие услуги в нем доступны — посмотрите ознакомительный тур. Для этого в нижней части экрана нажмите «Знакомство с интернет-банком»; ; ; ; ; ; ; ; ; ; ; ; ; 
скрыть баланс карта;680;Карты;Настройки приватности;Как скрыть баланс карты;На экране «Мои продукты» в разделе «Карты» найдите нужную вам карту.;Нажмите на иконку глаза рядом с балансом.;Баланс карты будет скрыт на всех экранах в интернет-банке, в том числе при совершении платежей и переводов. Включить отображение баланса можно, нажав на эту же иконку.; ; ; ; ; ; ; ; ; ; ; 
скрыть карта;681;Карты;Настройки приватности;Как скрыть карту;На экране «Мои продукты» в разделе «Карты» найдите нужную вам карту.;Нажмите «Ещё».;Выберите «Настройки приватности».;Выберите «Скрыть карту» — перетащите ползунок.;Нажмите «Сохранить».;Нажмите «Понятно, скрыть».;Карта не будет отображаться в интернет-банке, но при этом доступна для операций, в том числе платежей и переводов.    Найти карту и изменить настройки приватности можно в разделе «Скрытые продукты» в настройках профиля.; ; ; ; ; ; ; 
скрыть баланс вклад;682;Вклады;Настройки приватности;Как скрыть баланс вклада;На экране «Мои продукты» в разделе «Вклады» найдите нужный вам вклад;Нажмите на иконку глаза рядом с балансом;Баланс вклада будет скрыт на всех экранах в интернет-банке, в том числе при совершении платежей и переводов. Включить отображение баланса можно, нажав на эту же иконку; ; ; ; ; ; ; ; ; ; ; 
скрыть вклад;683;Вклады;Настройки приватности;Как скрыть вклад;На экране «Мои продукты» в разделе «Вклады» найдите нужный вам вклад;Нажмите «Ещё».;Выберите «Настройки приватности».;Выберите «Скрыть вклад» — перетащите ползунок;Нажмите «Сохранить».;Нажмите «Понятно, скрыть»;Вклад не будет отображаться в интернет-банке, но при этом доступна для операций, в том числе платежей и переводов.    Найти вклад и изменить настройки приватности можно в разделе «Скрытые продукты» в настройках профиля.; ; ; ; ; ; ; 
скрыть баланс счёт;684;Счета;Настройки приватности;Как скрыть баланс счета;На экране «Мои продукты» в разделе «Счета» найдите нужный вам счет;Нажмите на иконку глаза рядом с балансом;Баланс счета будет скрыт на всех экранах в интернет-банке, в том числе при совершении платежей и переводов. Включить отображение баланса можно, нажав на эту же иконку; ; ; ; ; ; ; ; ; ; ; 
скрыть счёт;685;Счета;Настройки приватности;Как скрыть счет;На экране «Мои продукты» в разделе «Счета» найдите нужный вам счет;Нажмите «Ещё».;Выберите «Настройки приватности».;Выберите «Скрыть счет» — перетащите ползунок;Нажмите «Сохранить».;Нажмите «Понятно, скрыть»;Счет не будет отображаться в интернет-банке, но при этом доступна для операций, в том числе платежей и переводов.    Найти счет и изменить настройки приватности можно в разделе «Скрытые продукты» в настройках профиля.; ; ; ; ; ; ; 
отправить график платёж кредит email;691;Кредиты;График платежей;Как отправить график платежей по кредиту на email;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «График платежей»;В новом окне появится график платежей. Нажмите «Отправить на e-mail»;Введите адрес электронной почты и нажмите «Отправить»; ; ; ; ; ; ; ; ; ; ; 
отправить график платёж ипотека email;692;Ипотека;График платежей;Как отправить график платежей по ипотеке на email;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «График платежей»;В новом окне появится график платежей. Нажмите «Отправить на e-mail»;Введите адрес электронной почты и нажмите «Отправить»; ; ; ; ; ; ; ; ; ; ; 
посмотреть дата внести платёж ипотека;693;Ипотека;График платежей;Как посмотреть даты внесенных платежей по ипотеке;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «График платежей»;На экране отображается график всех платежей за текущий год. Платежи, которые уже были внесены, выделены зеленым цветом. Дата платежей указана в столбце «Дата»;Вы также можете посмотреть другую информацию об ипотеке актуальную в этот период: сумму основного долга, процентов, остаток кредита, а также сумму штрафов и пени.; ; ; ; ; ; ; ; ; ; ; 
посмотреть дата будущий платёж ипотека;694;Ипотека;График платежей;Как посмотреть даты будущих платежей по ипотеке;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «График платежей»;На экране отображается график всех платежей за текущий год. Будущие платежи выделены серым цветом. Дата платежей указана в столбце «Дата»;Вы также можете посмотреть другую информацию об ипотеке актуальную в этот период: сумму основного долга, процентов, остаток кредита, а также сумму штрафов и пени.; ; ; ; ; ; ; ; ; ; ; 
посмотреть дата просрочить платёж ипотека;695;Ипотека;График платежей;Как посмотреть даты просроченных платежей по ипотеке;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «График платежей»;На экране отображается график всех платежей за текущий год. Просроченные платежи выделены красным цветом. Даты платежей указаны в столбце «Дата»;Вы также можете посмотреть другую информацию об ипотеке актуальную в этот период: сумму основного долга, процентов, остаток кредита, а также сумму штрафов и пени.; ; ; ; ; ; ; ; ; ; ; 
посмотреть сумма штраф пеня просрочить платёж ипотека;696;Ипотека;Штрафы и пени;Как посмотреть сумму штрафов и пеней по просроченному платежу по ипотеке;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «График платежей»;На экране отображается график всех платежей за текущий год. Информация о просроченных платежах выделена красным цветом: сумма основного долга, процентов, остаток кредита, а также сумма штрафов и пени.; ; ; ; ; ; ; ; ; ; ; ; 
создать тег операция;707;История операций;Теги;Как создать тег для операции;Перейдите на вкладку «По картам» в разделе «История операций»;Найдите операцию, для которой хотите создать тег и нажмите на нее. Добавить тег можно только для обработанной операции.;В открывшемся окне в поле «Теги» нажмите «Добавить».;Введите название тега и нажмите «Добавить».;Нажмите «Готово». Тег появится над списком операций. Нажав на тег, можно увидеть все отмеченные им операции. Можно выбирать несколько тегов одновременно — отобразятся все операции, соответствующие им.; ; ; ; ; ; ; ; ; 
оформить кредитный карта;708;Карты;Кредитные карты;Как оформить кредитную карту;На экране «Мои продукты» в разделе «Карты» нажмите «Оформить карту».;Выберите «Кредитные» и нажмите «Продолжить».;Введите SMS-код, подтвердите согласие на обработку персональных данных и нажмите «Подтвердить код».;Проверьте и введите недостающие данные и нажмите «Подтвердить».;Введите дополнительные данные: доход и способ его подтверждения, наличие пенсии, тип образования, город получения карты. Нажмите «Получить предварительное одобрение».;Дождитесь предварительного одобрения карты.;Если заявка предварительно одобрена, укажите размер кредитного лимита и сведения о работе. Нажмите «Продолжить».;Выберите способ доставки карты, проверьте имя на карте и введите кодовое слово. Укажите дополнительную информацию: email, семейное положение и другие данные. Нажмите «Продолжить».;Укажите информацию о дополнительном источнике дохода и нажмите «Получить карту».;Дождитесь SMS с решением банка. Если заявка на оформление кредитной карты одобрена, подготовьте необходимые документы — доставим карту выбранными вами способом.; ; ; ; 
получить справка выплатить процент кредит наличные;709;Кредиты;Справки и выписки;Как получить справку о выплаченных процентах по кредиту наличными;На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный кредит, затем нажмите «О кредите» или «Ещё».;Нажмите «Справки».;Нажмите «О выплаченных процентах».;Выберите, за какой период оформить справку: за определенный год или за произвольный период.;Нажмите «Скачать», чтобы сохранить справку, или «Отправить по e-mail», чтобы переслать ее электронную почту.; ; ; ; ; ; ; ; ; 
написать служба поддержка интернет банк;710;Помощь;Чат;Как написать в службу поддержки в интернет-банке;Нажмите на голубой значок сообщения в нижнем правом углу;Введите свой вопрос в текстовое поле;Нажмите на голубую стрелку, чтобы отправить сообщение;Ожидайте ответа службы поддержки.; ; ; ; ; ; ; ; ; ; 
удалить тег операция;711;История операций;Теги;Как удалить тег для операции;Перейдите на вкладку «По картам» в разделе «История операций»;В поле «Теги» под строкой поиска найдите нужный тег и нажмите на него — снизу отобразятся все операции, отмеченные этим тегом;Нажмите на операцию, для которой хотите удалить тег;В новом окне нажмите на крестик рядом с тегом, который хотите удалить — тег удален; ; ; ; ; ; ; ; ; ; 
посмотреть мой автоплатёж;727;Автоплатежи;Просмотр ;Как посмотреть все мои автоплатежи;Перейдите на вкладки «Мои продукты» или «Платежи и переводы»;Перейдите в раздел «Автоплатежи» и нажмите на стрелку справа, чтобы посмотреть все автоплатежи.;В новом окне отобразятся все созданные автоплатежи: завершенные и активные. Их можно изменить или удалить.; ; ; ; ; ; ; ; ; ; ; 
посмотреть мой шаблон;728;Шаблоны;ПРосмотр ;Как посмотреть все мои шаблоны;Перейдите на вкладки «Мои продукты» или «Платежи и переводы»;Перейдите в раздел «Шаблоны» и нажмите на стрелку справа, чтобы посмотреть все шаблоны.;На экране отобразятся все созданные шаблоны. Их можно изменить, отсортировать или удалить.; ; ; ; ; ; ; ; ; ; ; 
посмотреть мой счёт оплата;729;Счета на оплату;просмотр ;Как посмотреть все мои счета на оплату;Перейдите на вкладки «Мои продукты» или «Платежи и переводы»;Перейдите в раздел «Счета на оплату» и нажмите на стрелку справа, чтобы посмотреть все счета.;На экране отобразятся все счета на оплату, которые пришли по добавленным вами документам: новые и уже оплаченные.; ; ; ; ; ; ; ; ; ; ; 
удалить документ который приходить счёт оплата 1;730;Счета на оплату;Мои документы;Как удалить документ, по которому приходят счета на оплату (1);Перейдите на вкладки «Мои продукты» или «Платежи и переводы»;Перейдите в раздел «Счета на оплату» и нажмите на стрелку справа, чтобы посмотреть все счета.;Нажмите «Мои документы» справа сверху;Выберите из списка документ, который хотите удалить;Нажмите «Удалить документ»;Подтвердите, что хотите удалить документ — нажмите «Да, удалить»;Документ удален; ; ; ; ; ; ; 
удалить документ который приходить счёт оплата 2;730;Счета на оплату;Мои документы;Как удалить документ, по которому приходят счета на оплату (2);Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Перейдите в раздел «Мои документы»;Выберите из списка документ, который хотите удалить;Нажмите «Удалить документ»;Подтвердите, что хотите удалить документ — нажмите «Да, удалить»;Документ удален; ; ; ; ; ; ; ; 
оплатить налог фнс;731;Штрафы и налоги;ФНС/налоговая;Как оплатить налоги ФНС;Перейдите на вкладку «Платежи и переводы»;В разделе «Платежи» выберите «Штрафы и налоги»;Выберите «Налоги ФНС»;Выберите документ, по которому хотите оплатить налог, введите его номер и нажмите «Сохранить и проверить».    Примечание: Мы сохраним этот документ и будеим уведомлять о всех счетах на оплату, которые будут приходить по нему. Вы сможете в любой момент удалить документ в разделе «Мои документы».;Подождите немного, мы проверим, есть ли по этому документу неоплаченные налоги. Если есть — счет на оплату налога отобразится на экране. Нажмите на него, чтобы оплатить;Данные для оплаты заполнятся автоматически. Нажмите «Продолжить».;Выберите карту/счет, с которой хотитет оплатить налог и нажмите «Оплатить».;Платеж принят в обработку.; ; ; ; ; ; 
оплатить судебный задолженность фссп;732;Штрафы и налоги;ФССП/приставы;Как оплатить судебную задолженность ФССП;Перейдите на вкладку «Платежи и переводы»;В разделе «Платежи» выберите «Штрафы и налоги»;Выберите «Судебная задолженность ФССП»;Выберите документ, по которому хотите оплатить судебную задолженность, введите его номер и нажмите «Сохранить и проверить».    Примечание: Мы сохраним этот документ и будеим уведомлять о всех счетах на оплату, которые будут приходить по нему. Вы сможете в любой момент удалить документ в разделе «Мои документы».;Подождите немного, мы проверим, есть ли по этому документу неоплаченные судебные задолженности. Если есть — счет на оплату задолженнности отобразится на экране. Нажмите на него, чтобы оплатить;Данные для оплаты заполнятся автоматически. Нажмите «Продолжить».;Выберите карту/счет, с которой хотитет оплатить задолженнность и нажмите «Оплатить».;Платеж принят в обработку.; ; ; ; ; ; 
посмотреть история платёж автоплатёж расписание;733;Автоплатежи;История;Как посмотреть историю платежей автоплатежей по расписанию;Перейдите на вкладки «Мои продукты» или «Платежи и переводы»;Перейдите в раздел «Автоплатежи» и нажмите на стрелку справа, чтобы посмотреть все автоплатежи.;Найдите нужный автоплатеж в списке и нажмите «Показать историю платежей» — снизу отобразятся все совершенные платежи.     Примечание: Историю платежей можно посмотреть для повторяющихся автоплатежей по расписанию, при выставлении счета и при снижении баланса мобильного телефона.; ; ; ; ; ; ; ; ; ; ; 
застраховать карта;742;Карты;Страхование;Как застраховать карту;Перейдите на вкладку «Страхование».;В разделе программы «Защита карты» ознакомьтесь с условиями страхования и выберите, к какой карте подключить страховку.;Нажмите «Подключить».;Введите SMS-код для подтверждения.; ; ; ; ; ; ; ; ; ; 
отключить страхование карта;743;Карты;Страхование;Как отключить страхование карты;Перейдите на вкладку «Страхование».;В разделе программы «Защита карты» найдите карту, у которой хотите отключить страховку.;Нажмите «Отключить» справа от названия карты.;Введите SMS-код для подтверждения.; ; ; ; ; ; ; ; ; ; 
посмотреть сколько бонусный рубль я начислиться покупка партнёр;744;Программа лояльности;Кэшбэк от партнеров;Как посмотреть, сколько бонусных рублей мне начислится за покупки у партнеров;Перейдите на вкладку «История операций».    Примечание: Кэшбэк за покупки у партнеров начисляется на бонусный счет и отображается в деталях операции.;Найдите нужную операцию в списке и нажмите на нее.;Откроется окно с деталями операции. Кэшбэк, который начислится за покупку у партнеров, указан в поле «Сколько бонусов вы получите?».; ; ; ; ; ; ; ; ; ; ; 
подать заявка ипотека;745;Ипотека;Заявка на ипотеку;Как подать заявку на ипотеку;На вкладке «Мои продукты» перейдите в раздел «Кредиты».    Примечание: Оформить заявку на ипотеку можно, если у вас еще нет действующего ипотечного кредита в «Открытии».;Нажмите на предложении об оформлении ипотеки: оно отображается в конце раздела.;Ознакомьтесь с уловиями ипотеки и нажмите «Заполнить заявку», чтобы перейти к заполнению заявки на ипотеку.;В новой вкладке браузера откроется анкета на сайте «Открытия» — заполние ее, чтобы отправить заявку на ипотеку.; ; ; ; ; ; ; ; ; ; 
хотеть оформить ипотека рассчитать примерный платёж;746;Ипотека;Заявка на ипотеку;Хочу оформить ипотеку. Как рассчитать примерный платеж?;На вкладке «Мои продукты» перейдите в раздел «Кредиты».;Нажмите на предложении об оформлении ипотеки: оно отображается в конце раздела.;Ознакомьтесь с уловиями ипотеки и нажмите «Рассчитать платеж»;Выберите ипотечную программу и укажите примерную стоимость недвижимости, которую хотите приобрести в ипотеку.;Калькулятор автоматически рассчитает примерные условия по ипотеке: ежемесячный платеж, ставку, необходимый уровень зарплаты и сумму кредита.     Нажмите «Заполнить заявку», если хотите подать заявку на ипотеку. Если вы уже начали заполнять заявку на сайте, нажмите «Я уже заполнял заявку», чтобы продолжить ее заполнение.; ; ; ; ; ; ; ; ; 
посмотреть застраховать карта;747;Карты;Страхование;Как посмотреть, застрахована ли карта;Перейдите в раздел «Карты» во вкладке «Мои продукты»;Найдите нужную карту — иконка со статусом страховки отображается рядом с ее названием.    Зеленая иконка означает, что карта застрахована по программе «Защита карты». Наведите на значок, чтобы узнать, срок действия страховки.     Желтая иконка означает, что карта не застрахована: программа «Защита карты» подключена, но не оплачена. Пополните баланс карты, чтобы продлить страховку.    Серая иконка означает, что карта не застрахована: программа «Защиты карты» не подключена. Нажмите на иконку, чтобы перейти во вкладку «Страхование» и подключить страховку.; ; ; ; ; ; ; ; ; ; ; ; 
повысить ставка накопительный счёт мой копилка бонусный рубль;789;Накопительные счета;Повышение ставки;Как повысить ставку по накопительному счету «Моя копилка» бонусными рублями;Перейдите на экран программы лояльности МАКС: нажмите на баланс бонусных рублей в верхней части экрана.;Нажмите «Потратить бонусы».;Нажмите «Повысить ставку по счету».;Выберите накопительный счет, для которого хотите повысить ставку.;Выберите, на какой срок повысить ставку: на один месяц за 300 бонусных рублей или на три месяца за 900 бонусных рублей.;Перетяните подходящий вариант повышения ставки в окно справа и нажмите «Повысить ставку».; ; ; ; ; ; ; ; 
